observer_asn,observer_is_rpki,timestamp,attack_type,attacker_asn,prefix,as_path_length
14602,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
35086,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
41231,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14613,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4374,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
18712,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
12570,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16668,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
4385,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26914,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26914,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,1
16676,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
293,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16679,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14633,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14634,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33071,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
26931,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6456,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16696,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33080,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
33083,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16700,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
14653,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
24893,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
24893,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,4
28999,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
6473,True,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
16713,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
20810,False,1771013277,BOGON_INJECTION,26914,10.0.0.0/8,3
